schema_name,table_name,column_name,entity_type,business_term,glossary,category,sensitivity,critical_data_element
cscu_core,branches,br_id,COLUMN,Branch ID,CSCU Business Glossary,Branch Operations,LOW,Yes
cscu_core,employees,br_id,COLUMN,Branch ID,CSCU Business Glossary,Branch Operations,LOW,Yes
cscu_core,branches,br_name,COLUMN,Branch Name,CSCU Business Glossary,Branch Operations,HIGH,Yes
cscu_core,branches,br_city,COLUMN,Branch City,CSCU Business Glossary,Branch Operations,HIGH,Yes
cscu_core,branches,br_county,COLUMN,Branch County,CSCU Business Glossary,Branch Operations,HIGH,Yes
cscu_core,branches,br_zip,COLUMN,Branch ZIP,CSCU Business Glossary,Branch Operations,HIGH,Yes
cscu_core,branches,br_phone,COLUMN,Branch Phone,CSCU Business Glossary,Branch Operations,HIGH,Yes
cscu_core,branches,mgr_emp_id,COLUMN,Mgr Employee ID,CSCU Business Glossary,Branch Operations,LOW,No
cscu_core,branches,br_status,COLUMN,Branch Status,CSCU Business Glossary,Branch Operations,LOW,No
cscu_core,employees,emp_id,COLUMN,Employee ID,CSCU Business Glossary,Branch Operations,LOW,Yes
cscu_core,employees,email,COLUMN,Email,CSCU Business Glossary,Branch Operations,HIGH,Yes
cscu_core,employees,role_cd,COLUMN,Role Code,CSCU Business Glossary,Branch Operations,LOW,No
cscu_core,members,mbr_id,COLUMN,Member Number,CSCU Business Glossary,Member,HIGH,Yes
cscu_core,members,mbr_no,COLUMN,Member Number,CSCU Business Glossary,Member,HIGH,Yes
cscu_core,members,ssn,COLUMN,SSN,CSCU Business Glossary,Member,HIGH,Yes
cscu_core,members,dob,COLUMN,Date of Birth,CSCU Business Glossary,Member,HIGH,Yes
cscu_core,members,email,COLUMN,Email,CSCU Business Glossary,Member,HIGH,Yes
cscu_core,members,phone,COLUMN,Phone,CSCU Business Glossary,Member,HIGH,Yes
cscu_core,members,city,COLUMN,City,CSCU Business Glossary,Member,HIGH,Yes
cscu_core,members,zip,COLUMN,ZIP,CSCU Business Glossary,Member,HIGH,Yes
cscu_core,members,br_id,COLUMN,Branch ID,CSCU Business Glossary,Member,LOW,No
cscu_core,members,mbr_status,COLUMN,Member Status,CSCU Business Glossary,Member,LOW,No
cscu_core,accounts,acct_id,COLUMN,Account ID,CSCU Business Glossary,Accounts & Deposits,HIGH,Yes
cscu_core,accounts,acct_no,COLUMN,Account Number,CSCU Business Glossary,Accounts & Deposits,HIGH,Yes
cscu_core,accounts,mbr_id,COLUMN,Member Number,CSCU Business Glossary,Accounts & Deposits,HIGH,Yes
cscu_core,accounts,br_id,COLUMN,Branch ID,CSCU Business Glossary,Accounts & Deposits,LOW,No
cscu_core,accounts,acct_type_cd,COLUMN,Account Type Code,CSCU Business Glossary,Accounts & Deposits,HIGH,Yes
cscu_core,accounts,acct_status,COLUMN,Account Status,CSCU Business Glossary,Accounts & Deposits,HIGH,Yes
cscu_core,accounts,bal_amt,COLUMN,Balance Amount,CSCU Business Glossary,Accounts & Deposits,MEDIUM,Yes
cscu_core,accounts,avail_bal_amt,COLUMN,Available Balance Amount,CSCU Business Glossary,Accounts & Deposits,MEDIUM,Yes
cscu_core,accounts,int_rt,COLUMN,Interest Rate,CSCU Business Glossary,Accounts & Deposits,LOW,No
cscu_core,cards,card_id,COLUMN,Card ID,CSCU Business Glossary,Cards & Payments,MEDIUM,Yes
cscu_core,cards,acct_id,COLUMN,Account ID,CSCU Business Glossary,Cards & Payments,HIGH,Yes
cscu_core,ach_payments,acct_id,COLUMN,Account ID,CSCU Business Glossary,Cards & Payments,HIGH,Yes
cscu_core,cards,card_no,COLUMN,Card Number,CSCU Business Glossary,Cards & Payments,HIGH,Yes
cscu_core,cards,card_type_cd,COLUMN,Card Type Code,CSCU Business Glossary,Cards & Payments,MEDIUM,No
cscu_core,cards,cvv_cd,COLUMN,CVV Code,CSCU Business Glossary,Cards & Payments,MEDIUM,No
cscu_core,cards,card_status,COLUMN,Card Status,CSCU Business Glossary,Cards & Payments,MEDIUM,No
cscu_core,transactions,txn_id,COLUMN,Transaction ID,CSCU Business Glossary,Transactions,LOW,Yes
cscu_core,transactions,acct_id,COLUMN,Account ID,CSCU Business Glossary,Transactions,HIGH,Yes
cscu_core,transactions,txn_amt,COLUMN,Transaction Amount,CSCU Business Glossary,Transactions,MEDIUM,No
cscu_core,transactions,txn_type_cd,COLUMN,Transaction Type Code,CSCU Business Glossary,Transactions,LOW,No
cscu_core,transactions,mcc_cd,COLUMN,Merchant Category Code Code,CSCU Business Glossary,Transactions,LOW,No
cscu_core,loans,ln_id,COLUMN,Loan Number,CSCU Business Glossary,Lending,HIGH,Yes
cscu_core,loans,ln_no,COLUMN,Loan Number,CSCU Business Glossary,Lending,HIGH,Yes
cscu_core,loans,mbr_id,COLUMN,Member Number,CSCU Business Glossary,Lending,HIGH,Yes
cscu_core,loans,ln_type_cd,COLUMN,Loan Type Code,CSCU Business Glossary,Lending,LOW,No
cscu_core,loans,prin_bal_amt,COLUMN,Principal Balance Amount,CSCU Business Glossary,Lending,MEDIUM,Yes
cscu_core,loans,ln_status,COLUMN,Loan Status,CSCU Business Glossary,Lending,LOW,No
cscu_core,ach_payments,ach_id,COLUMN,ACH ID,CSCU Business Glossary,Cards & Payments,MEDIUM,Yes
cscu_core,ach_payments,ach_rte_no,COLUMN,Routing Number,CSCU Business Glossary,Cards & Payments,MEDIUM,No
cscu_core,ach_payments,ext_acct_no,COLUMN,External Account Number,CSCU Business Glossary,Cards & Payments,HIGH,Yes
cscu_core,ach_payments,dir_cd,COLUMN,Dir Code,CSCU Business Glossary,Cards & Payments,MEDIUM,No
cscu_core,ach_payments,ach_status,COLUMN,ACH Status,CSCU Business Glossary,Cards & Payments,MEDIUM,No
cscu_core,ach_payments,return_cd,COLUMN,Return Code,CSCU Business Glossary,Cards & Payments,MEDIUM,No
cscu_core,kyc_reviews,kyc_id,COLUMN,KYC ID,CSCU Business Glossary,Compliance & Risk,LOW,Yes
cscu_core,kyc_reviews,mbr_id,COLUMN,Member Number,CSCU Business Glossary,Compliance & Risk,HIGH,Yes
cscu_core,suspicious_activity,mbr_id,COLUMN,Member Number,CSCU Business Glossary,Compliance & Risk,HIGH,Yes
