schema_name,table_name,column_name,entity_type,business_term,glossary,category,sensitivity,critical_data_element
lhp_clinical,clinics,cl_id,COLUMN,Clinic ID,LHP Business Glossary,Clinic Operations,LOW,Yes
lhp_clinical,clinics,cl_name,COLUMN,Clinic Name,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,clinics,cl_addr,COLUMN,Clinic Address,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,clinics,cl_city,COLUMN,Clinic City,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,clinics,cl_county,COLUMN,Clinic County,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,clinics,cl_zip,COLUMN,Clinic ZIP,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,clinics,cl_phone,COLUMN,Clinic Phone,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,clinics,mgr_staff_id,COLUMN,Manager Staff ID,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,clinics,open_dt,COLUMN,Clinic Open Date,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,clinics,cl_status,COLUMN,Clinic Status,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,staff,staff_id,COLUMN,Staff ID,LHP Business Glossary,Clinic Operations,LOW,Yes
lhp_clinical,staff,first_nm,COLUMN,First Name,LHP Business Glossary,Clinic Operations,HIGH,Yes
lhp_clinical,staff,last_nm,COLUMN,Last Name,LHP Business Glossary,Clinic Operations,HIGH,Yes
lhp_clinical,staff,email,COLUMN,Email,LHP Business Glossary,Clinic Operations,HIGH,Yes
lhp_clinical,staff,cl_id,COLUMN,Clinic ID,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,staff,role_cd,COLUMN,Role Code,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,staff,hire_dt,COLUMN,Hire Date,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,staff,staff_status,COLUMN,Staff Status,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,providers,prov_id,COLUMN,Provider ID,LHP Business Glossary,Clinic Operations,LOW,Yes
lhp_clinical,providers,npi_no,COLUMN,NPI,LHP Business Glossary,Clinic Operations,LOW,Yes
lhp_clinical,providers,first_nm,COLUMN,First Name,LHP Business Glossary,Clinic Operations,HIGH,No
lhp_clinical,providers,last_nm,COLUMN,Last Name,LHP Business Glossary,Clinic Operations,HIGH,No
lhp_clinical,providers,specialty_cd,COLUMN,Specialty Code,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,providers,cl_id,COLUMN,Clinic ID,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,providers,license_no,COLUMN,License Number,LHP Business Glossary,Clinic Operations,MEDIUM,Yes
lhp_clinical,providers,prov_status,COLUMN,Provider Status,LHP Business Glossary,Clinic Operations,LOW,No
lhp_clinical,patients,pt_id,COLUMN,Patient ID,LHP Business Glossary,Patient,HIGH,Yes
lhp_clinical,patients,mrn,COLUMN,MRN,LHP Business Glossary,Patient,HIGH,Yes
lhp_clinical,patients,first_nm,COLUMN,First Name,LHP Business Glossary,Patient,HIGH,Yes
lhp_clinical,patients,last_nm,COLUMN,Last Name,LHP Business Glossary,Patient,HIGH,Yes
lhp_clinical,patients,ssn,COLUMN,SSN,LHP Business Glossary,Patient,HIGH,Yes
lhp_clinical,patients,dob,COLUMN,Date of Birth,LHP Business Glossary,Patient,HIGH,Yes
lhp_clinical,patients,sex_cd,COLUMN,Sex Code,LHP Business Glossary,Patient,MEDIUM,No
lhp_clinical,patients,email,COLUMN,Email,LHP Business Glossary,Patient,HIGH,Yes
lhp_clinical,patients,phone,COLUMN,Phone,LHP Business Glossary,Patient,HIGH,Yes
lhp_clinical,patients,addr1,COLUMN,Address 1,LHP Business Glossary,Patient,HIGH,Yes
