schema_name,table_name,column_name,entity_type,business_term,glossary,category,sensitivity,critical_data_element
cpc_mfg,plants,pl_id,COLUMN,Plant ID,CPC Business Glossary,Plant Operations,LOW,Yes
cpc_mfg,plants,pl_name,COLUMN,Plant Name,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,plants,pl_addr,COLUMN,Plant Address,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,plants,pl_city,COLUMN,Plant City,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,plants,pl_st,COLUMN,Plant State,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,plants,pl_zip,COLUMN,Plant ZIP,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,plants,pl_phone,COLUMN,Plant Phone,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,plants,mgr_emp_id,COLUMN,Manager Employee ID,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,plants,open_dt,COLUMN,Plant Open Date,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,plants,pl_status,COLUMN,Plant Status,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,employees,emp_id,COLUMN,Employee ID,CPC Business Glossary,Plant Operations,LOW,Yes
cpc_mfg,employees,first_nm,COLUMN,First Name,CPC Business Glossary,Plant Operations,HIGH,Yes
cpc_mfg,employees,last_nm,COLUMN,Last Name,CPC Business Glossary,Plant Operations,HIGH,Yes
cpc_mfg,employees,email,COLUMN,Email,CPC Business Glossary,Plant Operations,HIGH,Yes
cpc_mfg,employees,pl_id,COLUMN,Plant ID,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,employees,role_cd,COLUMN,Role Code,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,employees,hire_dt,COLUMN,Hire Date,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,employees,emp_status,COLUMN,Employee Status,CPC Business Glossary,Plant Operations,LOW,No
cpc_mfg,suppliers,supplier_id,COLUMN,Supplier ID,CPC Business Glossary,Suppliers & Purchasing,LOW,Yes
cpc_mfg,suppliers,supplier_nm,COLUMN,Supplier Name,CPC Business Glossary,Suppliers & Purchasing,LOW,No
cpc_mfg,suppliers,contact_email,COLUMN,Contact Email,CPC Business Glossary,Suppliers & Purchasing,MEDIUM,No
cpc_mfg,suppliers,phone,COLUMN,Phone,CPC Business Glossary,Suppliers & Purchasing,LOW,No
cpc_mfg,suppliers,city,COLUMN,City,CPC Business Glossary,Suppliers & Purchasing,LOW,No
cpc_mfg,suppliers,st,COLUMN,St,CPC Business Glossary,Suppliers & Purchasing,LOW,No
cpc_mfg,suppliers,asl_status,COLUMN,ASL Status,CPC Business Glossary,Suppliers & Purchasing,MEDIUM,Yes
cpc_mfg,suppliers,status_dt,COLUMN,Status Date,CPC Business Glossary,Suppliers & Purchasing,LOW,No
cpc_mfg,suppliers,quality_rating_cd,COLUMN,Quality Rating Code,CPC Business Glossary,Suppliers & Purchasing,LOW,No
cpc_mfg,parts,part_id,COLUMN,Part ID,CPC Business Glossary,Parts & BOM,LOW,Yes
cpc_mfg,parts,part_no,COLUMN,Part Number,CPC Business Glossary,Parts & BOM,LOW,Yes
cpc_mfg,parts,rev_cd,COLUMN,Revision Code,CPC Business Glossary,Parts & BOM,LOW,Yes
cpc_mfg,parts,part_nm,COLUMN,Part Name,CPC Business Glossary,Parts & BOM,LOW,No
cpc_mfg,parts,part_type_cd,COLUMN,Part Type Code,CPC Business Glossary,Parts & BOM,LOW,No
cpc_mfg,parts,uom_cd,COLUMN,UOM Code,CPC Business Glossary,Parts & BOM,LOW,No
cpc_mfg,parts,unit_cost,COLUMN,Unit Cost,CPC Business Glossary,Parts & BOM,HIGH,Yes
cpc_mfg,parts,safety_critical_flag,COLUMN,Safety Critical Flag,CPC Business Glossary,Parts & BOM,MEDIUM,Yes
cpc_mfg,parts,part_status,COLUMN,Part Status,CPC Business Glossary,Parts & BOM,LOW,No
cpc_mfg,boms,bom_id,COLUMN,BOM ID,CPC Business Glossary,Parts & BOM,LOW,Yes
cpc_mfg,boms,parent_part_id,COLUMN,Parent Part ID,CPC Business Glossary,Parts & BOM,LOW,Yes
cpc_mfg,boms,child_part_id,COLUMN,Child Part ID,CPC Business Glossary,Parts & BOM,LOW,Yes
