schema,table,column,data_type,is_pk,is_fk,comment
cpc_mfg,plants,pl_id,INT,Y,,
cpc_mfg,plants,pl_name,VARCHAR,,,
cpc_mfg,plants,pl_addr,VARCHAR,,,
cpc_mfg,plants,pl_city,VARCHAR,,,
cpc_mfg,plants,pl_st,CHAR(2),,,
cpc_mfg,plants,pl_zip,VARCHAR,,,
cpc_mfg,plants,pl_phone,VARCHAR,,,
cpc_mfg,plants,mgr_emp_id,INT,,Y,
cpc_mfg,plants,open_dt,DATE,,,
cpc_mfg,plants,pl_status,VARCHAR,,,
cpc_mfg,employees,emp_id,INT,Y,,
cpc_mfg,employees,first_nm,VARCHAR,,,
cpc_mfg,employees,last_nm,VARCHAR,,,
cpc_mfg,employees,email,VARCHAR,,,
cpc_mfg,employees,pl_id,INT,,Y,
cpc_mfg,employees,role_cd,VARCHAR,,,
cpc_mfg,employees,hire_dt,DATE,,,
cpc_mfg,employees,emp_status,VARCHAR,,,
cpc_mfg,suppliers,supplier_id,INT,Y,,
cpc_mfg,suppliers,supplier_nm,VARCHAR,,,
cpc_mfg,suppliers,contact_email,VARCHAR,,,
cpc_mfg,suppliers,phone,VARCHAR,,,
cpc_mfg,suppliers,city,VARCHAR,,,
cpc_mfg,suppliers,st,CHAR(2),,,
cpc_mfg,suppliers,asl_status,VARCHAR,,,
cpc_mfg,suppliers,status_dt,DATE,,,
cpc_mfg,suppliers,quality_rating_cd,CHAR(1),,,
cpc_mfg,parts,part_id,INT,Y,,
cpc_mfg,parts,part_no,VARCHAR,,,
cpc_mfg,parts,rev_cd,CHAR(1),,,
cpc_mfg,parts,part_nm,VARCHAR,,,
cpc_mfg,parts,part_type_cd,VARCHAR,,,
cpc_mfg,parts,uom_cd,VARCHAR,,,
cpc_mfg,parts,unit_cost,"NUMERIC(10,2)",,,
cpc_mfg,parts,safety_critical_flag,BOOLEAN,,,
cpc_mfg,parts,part_status,VARCHAR,,,
cpc_mfg,boms,bom_id,INT,Y,,
cpc_mfg,boms,parent_part_id,INT,,Y,
cpc_mfg,boms,child_part_id,INT,,Y,
cpc_mfg,boms,qty_per,INT,,,
cpc_mfg,boms,effective_dt,DATE,,,
cpc_mfg,boms,bom_status,VARCHAR,,,
cpc_mfg,purchase_orders,po_id,INT,Y,,
cpc_mfg,purchase_orders,po_no,VARCHAR,,,
cpc_mfg,purchase_orders,supplier_id,INT,,Y,
cpc_mfg,purchase_orders,part_id,INT,,Y,
cpc_mfg,purchase_orders,qty_ordered,INT,,,
cpc_mfg,purchase_orders,unit_price,"NUMERIC(10,2)",,,
cpc_mfg,purchase_orders,order_dt,DATE,,,
cpc_mfg,purchase_orders,promised_dt,DATE,,,
cpc_mfg,purchase_orders,po_status,VARCHAR,,,
cpc_mfg,work_orders,wo_id,INT,Y,,
cpc_mfg,work_orders,wo_no,VARCHAR,,,
cpc_mfg,work_orders,part_id,INT,,Y,
cpc_mfg,work_orders,pl_id,INT,,Y,
cpc_mfg,work_orders,qty_planned,INT,,,
cpc_mfg,work_orders,qty_completed,INT,,,
cpc_mfg,work_orders,qty_scrapped,INT,,,
cpc_mfg,work_orders,start_dt,DATE,,,
cpc_mfg,work_orders,due_dt,DATE,,,
cpc_mfg,work_orders,wo_status,VARCHAR,,,
cpc_mfg,lots,lot_id,INT,Y,,
cpc_mfg,lots,lot_no,VARCHAR,,,
cpc_mfg,lots,part_id,INT,,Y,
cpc_mfg,lots,wo_id,INT,,Y,
cpc_mfg,lots,supplier_id,INT,,Y,
cpc_mfg,lots,qty,INT,,,
cpc_mfg,lots,mfg_dt,DATE,,,
cpc_mfg,lots,coc_flag,BOOLEAN,,,
cpc_mfg,lots,lot_status,VARCHAR,,,
cpc_mfg,inspections,insp_id,INT,Y,,
cpc_mfg,inspections,lot_id,INT,,Y,
cpc_mfg,inspections,insp_type_cd,VARCHAR,,,
cpc_mfg,inspections,insp_dt,DATE,,,
cpc_mfg,inspections,inspector_emp_id,INT,,Y,
cpc_mfg,inspections,sample_qty,INT,,,
cpc_mfg,inspections,defects_found,INT,,,
cpc_mfg,inspections,result_cd,VARCHAR,,,
cpc_mfg,ncrs,ncr_id,INT,Y,,
cpc_mfg,ncrs,ncr_no,VARCHAR,,,
cpc_mfg,ncrs,lot_id,INT,,Y,
cpc_mfg,ncrs,part_id,INT,,Y,
cpc_mfg,ncrs,defect_cd,VARCHAR,,,
cpc_mfg,ncrs,severity_cd,VARCHAR,,,
cpc_mfg,ncrs,disposition_cd,VARCHAR,,,
cpc_mfg,ncrs,mrb_approval_flag,BOOLEAN,,,
cpc_mfg,ncrs,opened_dt,DATE,,,
cpc_mfg,ncrs,opened_by_emp_id,INT,,Y,
cpc_mfg,ncrs,closed_dt,DATE,,,
cpc_mfg,ncrs,ncr_status,VARCHAR,,,
cpc_mfg,shipments,ship_id,INT,Y,,
cpc_mfg,shipments,ship_no,VARCHAR,,,
cpc_mfg,shipments,customer_nm,VARCHAR,,,
cpc_mfg,shipments,part_id,INT,,Y,
cpc_mfg,shipments,lot_id,INT,,Y,
cpc_mfg,shipments,qty,INT,,,
cpc_mfg,shipments,ship_dt,DATE,,,
cpc_mfg,shipments,dest_city,VARCHAR,,,
cpc_mfg,shipments,dest_st,CHAR(2),,,
cpc_mfg,shipments,ship_status,VARCHAR,,,
