schema,table,column,data_type,is_pk,is_fk,comment
cto_retail,stores,st_id,INT,Y,,
cto_retail,stores,st_name,VARCHAR,,,
cto_retail,stores,st_addr,VARCHAR,,,
cto_retail,stores,st_city,VARCHAR,,,
cto_retail,stores,st_county,VARCHAR,,,
cto_retail,stores,st_zip,VARCHAR,,,
cto_retail,stores,st_phone,VARCHAR,,,
cto_retail,stores,mgr_emp_id,INT,,Y,
cto_retail,stores,open_dt,DATE,,,
cto_retail,stores,st_status,VARCHAR,,,
cto_retail,employees,emp_id,INT,Y,,
cto_retail,employees,first_nm,VARCHAR,,,
cto_retail,employees,last_nm,VARCHAR,,,
cto_retail,employees,email,VARCHAR,,,
cto_retail,employees,st_id,INT,,Y,
cto_retail,employees,role_cd,VARCHAR,,,
cto_retail,employees,hire_dt,DATE,,,
cto_retail,employees,emp_status,VARCHAR,,,
cto_retail,customers,cust_id,INT,Y,,
cto_retail,customers,loyalty_no,VARCHAR,,,
cto_retail,customers,first_nm,VARCHAR,,,
cto_retail,customers,last_nm,VARCHAR,,,
cto_retail,customers,email,VARCHAR,,,
cto_retail,customers,phone,VARCHAR,,,
cto_retail,customers,addr1,VARCHAR,,,
cto_retail,customers,city,VARCHAR,,,
cto_retail,customers,st,CHAR(2),,,
cto_retail,customers,zip,VARCHAR,,,
cto_retail,customers,joined_dt,DATE,,,
cto_retail,customers,loyalty_tier,VARCHAR,,,
cto_retail,customers,opted_out_marketing,BOOLEAN,,,
cto_retail,customers,cust_status,VARCHAR,,,
cto_retail,suppliers,supplier_id,INT,Y,,
cto_retail,suppliers,supplier_nm,VARCHAR,,,
cto_retail,suppliers,contact_email,VARCHAR,,,
cto_retail,suppliers,phone,VARCHAR,,,
cto_retail,suppliers,city,VARCHAR,,,
cto_retail,suppliers,st,CHAR(2),,,
cto_retail,suppliers,terms_cd,VARCHAR,,,
cto_retail,suppliers,supplier_status,VARCHAR,,,
cto_retail,products,prod_id,INT,Y,,
cto_retail,products,sku,VARCHAR,,,
cto_retail,products,prod_nm,VARCHAR,,,
cto_retail,products,category_cd,VARCHAR,,,
cto_retail,products,supplier_id,INT,,Y,
cto_retail,products,unit_cost,"NUMERIC(10,2)",,,
cto_retail,products,list_price,"NUMERIC(10,2)",,,
cto_retail,products,prod_status,VARCHAR,,,
cto_retail,inventory,inv_id,INT,Y,,
cto_retail,inventory,prod_id,INT,,Y,
cto_retail,inventory,st_id,INT,,Y,
cto_retail,inventory,qty_on_hand,INT,,,
cto_retail,inventory,qty_reserved,INT,,,
cto_retail,inventory,reorder_pt,INT,,,
cto_retail,inventory,last_count_dt,DATE,,,
cto_retail,orders,order_id,INT,Y,,
cto_retail,orders,order_no,VARCHAR,,,
cto_retail,orders,cust_id,INT,,Y,
cto_retail,orders,st_id,INT,,Y,
cto_retail,orders,channel_cd,VARCHAR,,,
cto_retail,orders,order_dt,DATE,,,
cto_retail,orders,order_status,VARCHAR,,,
cto_retail,orders,total_amt,"NUMERIC(10,2)",,,
cto_retail,order_items,item_id,INT,Y,,
cto_retail,order_items,order_id,INT,,Y,
cto_retail,order_items,prod_id,INT,,Y,
cto_retail,order_items,qty,INT,,,
cto_retail,order_items,unit_price,"NUMERIC(10,2)",,,
cto_retail,order_items,discount_pct,"NUMERIC(5,2)",,,
cto_retail,payments,pay_id,INT,Y,,
cto_retail,payments,order_id,INT,,Y,
cto_retail,payments,pay_method_cd,VARCHAR,,,
cto_retail,payments,card_no,VARCHAR,,,
cto_retail,payments,auth_cd,VARCHAR,,,
cto_retail,payments,pay_amt,"NUMERIC(10,2)",,,
cto_retail,payments,pay_dt,DATE,,,
cto_retail,payments,pay_status,VARCHAR,,,
cto_retail,returns,ret_id,INT,Y,,
cto_retail,returns,order_id,INT,,Y,
cto_retail,returns,prod_id,INT,,Y,
cto_retail,returns,ret_reason_cd,VARCHAR,,,
cto_retail,returns,ret_dt,DATE,,,
cto_retail,returns,refund_amt,"NUMERIC(10,2)",,,
cto_retail,returns,ret_status,VARCHAR,,,
cto_retail,loss_prevention_cases,lp_id,INT,Y,,
cto_retail,loss_prevention_cases,st_id,INT,,Y,
cto_retail,loss_prevention_cases,cust_id,INT,,Y,
cto_retail,loss_prevention_cases,emp_id,INT,,Y,
cto_retail,loss_prevention_cases,case_type_cd,VARCHAR,,,
cto_retail,loss_prevention_cases,opened_dt,DATE,,,
cto_retail,loss_prevention_cases,opened_by_emp_id,INT,,Y,
cto_retail,loss_prevention_cases,case_status,VARCHAR,,,
cto_retail,loss_prevention_cases,notes_txt,TEXT,,,
